LOTE;Orden en el encadenado;LOTE parental;ID Bioreactor;Fecha/hora inicio;Fecha/hora fin;Volumen de inóculo utilizado;Turbidez inicio cultivo;Turbidez fin cultivo;Viabilidad final cultivo;ID Centrífuga;Centrifugación 1 turbidez;Centrifugación 2 turbidez;Producto 1;Producto 2;;;
23019;1;NA;14615;2023-03-21 07:30:00;2023-03-23 06:30:00;82,4;17,3;91,2;1,84E+08;17825;NA;NA;1747,9;6,0;;;
23020;1;NA;14616;2023-03-21 07:30:00;2023-03-23 06:30:00;80,4;18,8;91,2;1,82E+08;14246;NA;NA;1676,2;6,6;;;
23021;1;NA;13170;2023-03-22 07:30:00;2023-03-24 06:30:00;66,4;16,2;86,4;2,48E+08;17825;NA;NA;1928,5;8,1;;;
23022;1;NA;14614;2023-03-22 07:30:00;2023-03-24 06:30:00;85,6;18,5;83,2;2,30E+08;12912;NA;NA;1782,8;5,9;;;
23023;1;NA;14615;2023-03-28 07:27:00;2023-03-30 10:00:00;77,6;17,1;74,4;1,33E+08;17825;26,6;20,9;1861,8;3,0;;;
23024;1;NA;14616;2023-03-28 07:24:00;2023-03-30 07:23:00;76,0;16,6;80,8;1,99E+08;14246;24,6;10,4;2161,1;2,8;;;
23025;1;NA;13170;2023-03-29 07:09:00;2023-03-31 07:29:00;77,2;17,8;87,2;1,99E+08;17825;30,6;29,4;2044,7;4,5;;;
23026;1;NA;14614;2023-03-29 07:29:00;2023-03-31 07:38:00;78,8;18,2;81,2;2,06E+08;14246;26,5;11,6;2263,2;3,4;;;
23027;1;NA;14615;2023-04-04 10:32:00;2023-04-06 12:30:00;83,2;16,9;68,1;1,95E+08;14246;26,2;9,8;1407,7;4,1;;;
23028;1;NA;14616;2023-04-04 10:34:00;2023-04-06 12:32:00;83,6;18,6;67,2;1,76E+08;17825;27,3;12,2;1373,2;4,7;;;
23029;1;NA;13170;2023-04-18 07:30:00;2023-04-20 07:30:00;80,6;17,0;85,6;2,62E+08;6379;27,8;13,4;2063,7;6,7;;;
23030;1;NA;14614;2023-04-18 07:30:00;2023-04-20 07:30:00;81,4;19,4;76,0;1,79E+08;12912;28,7;12,6;2019,7;5,8;;;
23031;1;NA;14615;2023-04-18 07:30:00;2023-04-20 07:30:00;82,2;18,6;84,0;9,76E+07;14246;29,5;NA;1816,1;6,2;;;
23032;1;NA;14616;2023-04-18 07:30:00;2023-04-20 08:40:00;83,0;18,9;76,0;1,96E+08;17825;29,4;NA;1865,4;6,6;;;
23033;1;NA;14616;2023-04-25 12:30:00;2023-04-27 13:30:00;82,4;17,8;72,5;2,27E+08;17825;29,1;16,0;1628,9;5,5;;;
23034;1;NA;14615;2023-04-25 12:30:00;2023-04-27 13:30:00;83,2;16,3;69,1;1,97E+08;12912;24,0;16,0;1592,0;5,5;;;
23035;1;NA;14614;2023-04-25 07:45:00;2023-04-27 10:30:00;85,9;17,8;59,5;2,07E+08;14246;25,2;15,1;1499,8;4,6;;;
23036;1;NA;13170;2023-05-22 07:30:00;2023-05-24 09:35:00;82,0;16,4;65,9;1,42E+08;14246;25,8;12,9;1403,4;4,2;;;
23038;1;NA;14615;2023-05-23 08:00:00;2023-05-25 10:45:00;83,6;15,3;67,9;1,46E+08;14246;23,0;13,5;1674,6;4,4;;;
23039;1;NA;14616;2023-05-23 08:00:00;2023-05-25 10:15:00;80,4;17,8;67,2;1,22E+08;17825;28,5;13,8;1487,4;3,6;;;
23040;1;NA;13169;2023-05-30 12:00:00;2023-06-01 12:00:00;77,6;15,9;83,2;1,90E+08;14246;27,4;NA;2129,9;8,2;;;
23041;1;NA;14616;2023-05-30 07:20:00;2023-06-01 07:20:00;82,8;15,6;76,8;2,60E+08;17825;23,3;21,4;1873,7;7,3;;;
23042;1;NA;14614;2023-05-31 06:55:00;2023-06-02 09:20:00;79,2;15,3;69,0;2,10E+08;17825;24,4;18,3;1609,8;6,4;;;
23044;1;NA;14616;2023-06-06 09:20:00;2023-06-08 13:50:00;81,2;14,9;56,5;3,70E+08;17825;23,2;11,6;1240,7;5,0;;;
23043;1;NA;14615;2023-06-12 08:00:00;2023-06-14 10:30:00;84,0;16,2;65,0;1,88E+08;14246;24,6;18,6;1427,9;4,5;;;
23045;1;NA;13170;2023-06-12 08:00:00;2023-06-14 08:30:00;81,6;16,7;72,8;1,74E+08;17825;27,8;15,7;1613,8;6,0;;;
23046;1;NA;14614;2023-06-13 08:00:00;2023-06-15 09:15:00;82,8;14,1;69,7;1,78E+08;14246;21,8;14,6;2061,0;8,7;;;
23047;1;NA;14616;2023-06-13 08:00:00;2023-06-15 08:15:00;83,2;18,7;72,1;1,62E+08;17825;26,6;19,3;1697,6;6,9;;;
23048;1;NA;14615;2023-06-20 07:15:00;2023-06-22 08:45:00;81,6;16,0;67,0;1,66E+08;14246;21,8;20,0;1393,1;5,6;;;
23049;1;NA;14616;2023-06-20 07:15:00;2023-06-22 08:45:00;82,4;15,0;68,8;1,63E+08;17825;21,3;24,9;1766,5;7,5;;;
23050;1;NA;14614;2023-06-21 08:00:00;2023-06-23 08:00:00;83,2;16,2;75,3;1,30E+08;17825;24,3;21,4;1755,1;6,8;;;
23051;1;NA;13170;2023-06-21 08:00:00;2023-06-23 10:30:00;80,0;14,8;49,8;2,11E+08;14246;22,1;13,8;1225,8;5,7;;;
23053;1;NA;14616;2023-06-26 08:00:00;2023-06-28 07:30:00;NA;16,6;72,6;1,68E+08;17825;24,5;14,6;1681,4;6,5;;;
23054;1;NA;13170;2023-06-27 08:15:00;2023-06-29 08:15:00;NA;17,0;65,3;1,93E+08;14246;24,2;28,9;1683,1;7,8;;;
23055;1;NA;14615;2023-06-27 08:15:00;2023-06-29 08:15:00;NA;17,1;81,6;1,69E+08;17825;26,6;23,8;1563,0;8,1;;;
23056;1;NA;13170;2023-07-03 08:35:00;2023-07-05 08:30:00;84,0;18,7;81,6;2,06E+08;14246;29,4;23,4;1699,7;6,9;;;
23057;1;NA;14614;2023-07-03 08:35:00;2023-07-05 09:15:00;84,0;27,0;73,2;1,74E+08;17825;27,1;21,2;1786,2;5,9;;;
23060;1;NA;14615;2023-07-04 07:30:00;2023-07-06 08:30:00;82,4;15,0;71,8;1,41E+08;14246;23,8;20,2;1688,2;7,1;;;
23061;1;NA;14616;2023-07-04 07:30:00;2023-07-06 08:30:00;82,0;17,8;73,4;1,46E+08;17825;25,8;21,0;1967,8;7,3;;;
23063;1;NA;14615;2023-07-10 07:35:00;2023-07-12 11:35:00;83,2;17,6;68,3;1,14E+08;14246;25,5;15,8;1790,2;5,9;;;
23064;1;NA;13170;2023-07-11 07:50:00;2023-07-13 07:55:00;80,8;16,5;81,6;1,18E+08;14246;27,1;26,6;1821,8;7,4;;;
23065;1;NA;14616;2023-07-11 07:50:00;2023-07-13 09:25:00;81,2;18,9;74,9;1,50E+08;17825;27,7;20,2;1977,5;6,6;;;
23067;1;NA;14615;2023-07-17 07:30:00;2023-07-19 09:45:00;84,0;18,1;60,7;1,54E+08;14246;23,6;16,9;1793,1;5,8;;;
23068;1;NA;13170;2023-07-18 08:05:00;2023-07-20 07:55:00;82,0;16,4;73,0;1,58E+08;14246;24,2;22,6;1743,3;7,0;;;
23069;1;NA;14616;2023-07-18 07:30:00;2023-07-20 08:00:00;82,0;17,0;63,6;1,54E+08;17825;23,7;18,4;1548,9;5,6;;;
23070;1;NA;14615;2023-07-24 08:40:00;2023-07-26 08:40:00;80,0;17,5;62,7;9,12E+07;14246;25,7;15,4;1853,3;5,4;;;
23071;1;NA;13170;2023-07-25 07:00:00;2023-07-27 07:50:00;82,0;18,0;77,2;1,74E+08;14246;28,2;26,8;2162,5;7,6;;;
23072;1;NA;14616;2023-07-25 07:00:00;2023-07-27 08:00:00;80,8;16,6;69,0;1,38E+08;17825;24,4;22,7;1833,0;6,1;;;
23073;1;NA;13169;2023-07-31 09:15:00;2023-08-02 10:00:00;82,4;17,8;71,5;1,60E+08;14246;30,2;26,4;1756,6;6,6;;;
23075;1;NA;14616;2023-07-31 09:15:00;2023-08-02 10:15:00;82,8;17,8;70,6;1,49E+08;17825;30,8;20,6;1985,4;6,5;;;
23076;1;NA;13170;2023-08-01 07:00:00;2023-08-03 07:25:00;84,2;17,9;77,2;1,76E+08;17825;30,9;26,4;1670,5;8,1;;;
23077;1;NA;13170;2023-09-04 12:00:00;2023-09-06 12:00:00;78,4;26,2;71,0;1,58E+08;14246;30,0;20,7;2151,5;9,1;;;
23078;1;NA;14614;2023-09-04 08:00:00;2023-09-06 09:30:00;80,0;18,0;73,2;1,47E+08;17825;31,8;20,8;1470,5;5,2;;;
23079;1;NA;14615;2023-09-05 08:30:00;2023-09-07 09:00:00;82,0;18,6;84,8;1,46E+08;14246;31,8;31,7;2045,9;7,1;;;
23080;1;NA;14616;2023-09-05 08:30:00;2023-09-07 08:30:00;80,8;18,8;83,2;1,30E+08;17825;22,6;22,8;1758,2;7,8;;;
23081;1;NA;14615;2023-09-13 07:15:00;2023-09-15 10:00:00;82,8;18,2;49,4;1,04E+08;17825;29,0;15,4;1262,9;3,4;;;
23082;1;NA;14616;2023-09-13 07:15:00;2023-09-15 13:00:00;82,0;16,3;67,7;1,55E+08;14246;30,2;21,1;1821,0;6,2;;;
23083;1;NA;14617;2023-09-12 08:00:00;2023-09-14 08:25:00;82,8;17,0;54,2;7,04E+07;17825;142,4;157,0;1640,6;5,5;;;
23084;1;NA;13169;2023-09-12 08:00:00;2023-09-14 10:00:00;81,6;17,4;83,2;1,40E+08;14246;168,8;151,8;2133,0;7,8;;;
23085;1;NA;13170;2023-09-25 08:15:00;2023-09-27 09:45:00;84,0;16,3;64,8;1,58E+08;14246;28,7;17,7;1662,9;4,5;;;
23086;1;NA;14614;2023-09-25 08:15:00;2023-09-27 10:20:00;83,2;16,2;64,2;1,24E+08;17825;30,4;22,2;1533,0;4,2;;;
23087;1;NA;14617;2023-09-26 09:30:00;2023-09-28 10:30:00;81,2;18,3;70,6;1,31E+08;14246;36,6;44,0;1096,6;4,6;;;
23088;1;NA;14616;2023-09-26 09:30:00;2023-09-28 11:15:00;80,8;19,0;77,8;1,58E+08;17825;31,7;21,7;2150,6;6,1;;;
23089;1;NA;13169;2023-10-02 08:30:00;2023-10-04 08:30:00;82,4;18,3;63,0;1,46E+08;17825;30,4;17,8;1710,4;5,4;;;
23090;1;NA;14614;2023-10-02 08:30:00;2023-10-04 10:00:00;81,6;17,7;60,1;1,41E+08;12912;27,0;13,2;1265,0;5,4;;;
23091;1;NA;14615;2023-10-03 08:30:00;2023-10-05 09:30:00;82,0;14,6;65,1;1,26E+08;14246;24,6;31,9;1491,5;5,5;;;
23092;1;NA;14616;2023-10-03 08:30:00;2023-10-05 10:45:00;82,0;18,6;74,4;1,62E+08;17825;26,3;27,1;1439,8;8,2;;;
23093;2;23085;13170;2023-09-27 13:00:00;2023-09-29 13:00:00;80,0;21,8;71,4;1,82+e08;14246;28,8;20,0;1792,1;6,4;;;
23094;1;NA;14614;2023-10-09 13:15:00;2023-10-11 13:00:00;81,2;18,1;42,8;1,00E+08;17825;22,4;10,1;1373,3;4,8;;;
23095;1;NA;13169;2023-10-09 13:15:00;2023-10-11 13:00:00;81,2;13,4;44,3;1,19E+08;12912;21,5;10,4;988,1;5,4;;;
23096;1;NA;14617;2023-10-17 09:00:00;2023-10-19 11:30:00;80,8;15,1;64,6;1,18E+08;14246;25,3;18,6;1446,7;5,8;;;
23097;1;NA;14616;2023-10-17 09:00:00;2023-10-19 09:30:00;81,6;18,7;68,7;1,19E+08;12912;28,1;20,6;1831,8;5,8;;;
23098;1;NA;14615;2023-10-17 09:00:00;2023-10-19 09:30:00;80,8;16,6;81,0;1,02E+08;17825;30,2;15,4;1470,2;7,4;;;
23099;1;NA;13169;2023-10-23 10:00:00;2023-10-25 09:00:00;82,4;21,8;73,4;1,15E+08;12912;33,6;22,2;1310,3;5,9;;;
23100;1;NA;14614;2023-10-23 10:00:00;2023-10-25 10:00:00;82,0;22,0;74,5;1,44E+08;17825;33,4;17,8;1268,1;5,0;;;
23101;1;NA;14615;2023-10-24 07:00:00;2023-10-26 08:30:00;80,4;17,8;68,9;1,88E+08;14246;27,8;19,8;1332,3;7,4;;;
23102;1;NA;14616;2023-10-24 07:00:00;2023-10-26 08:00:00;81,2;19,4;79,4;2,00E+08;17825;31,0;19,5;1236,7;6,2;;;
23103;1;NA;14616;2023-10-31 10:00:00;2023-11-02 09:45:00;80,4;17,0;76,1;1,80E+08;14246;30,4;27,4;1669,0;6,2;;;
23104;1;NA;14615;2023-10-31 09:15:00;2023-11-02 09:45:00;80,0;16,4;81,6;1,81E+08;12912;28,7;23,7;2113,0;7,0;;;
23105;1;NA;14614;2023-10-31 10:00:00;2023-11-02 10:00:00;82,4;14,9;84,0;1,57E+08;17825;30,5;27,8;1855,4;8,6;;;
23106;2;23099;13169;2023-10-25 12:30:00;2023-10-27 09:30:00;NA;20,8;70,2;1,84E+08;14246;27,7;26,3;1351,6;6,7;;;
23107;2;23100;14614;2023-10-25 13:30:00;2023-10-27 11:30:00;NA;23,2;71,3;1,63E+08;17825;30,9;23,9;1965,9;7,8;;;
23108;1;NA;13170;2023-11-06 09:00:00;2023-11-08 09:20:00;83,2;19,4;75,6;1,96E+08;12912;32,0;20,8;1784,7;5,3;;;
23109;1;NA;14616;2023-11-06 09:00:00;2023-11-08 08:20:00;83,2;18,5;78,5;2,02E+08;14246;34,5;27,6;969,9;3,8;;;
23110;1;NA;14614;2023-11-07 11:30:00;2023-11-09 10:00:00;81,6;17,7;80,1;1,95E+08;17825;31,2;22,6;1957,1;6,7;;;
23111;1;NA;14615;2023-11-07 11:30:00;2023-11-09 09:30:00;81,6;17,6;74,2;1,95E+08;12912;28,6;24,5;1924,0;6,6;;;
23112;1;NA;14615;2023-11-13 08:50:00;2023-11-15 08:25:00;81,6;18,0;75,8;1,80E+08;17825;28,6;16,4;1707,6;5,3;;;
23113;1;NA;14616;2023-11-13 08:50:00;2023-11-15 09:20:00;81,6;17,6;78,4;1,92E+08;12912;28,7;19,1;1704,3;6,4;;;
23114;1;NA;14614;2023-11-14 07:00:00;2023-11-16 07:55:00;81,6;15,3;78,6;1,27E+08;12912;32,4;28,6;1325,3;4,9;;;
23115;2;23108;13170;2023-11-08 13:00:00;2023-11-10 10:00:00;80,0;20,6;80,0;1,67E+08;12912;29,6;29,5;1655,4;8,0;;;
23116;2;23109;14616;2023-11-08 12:00:00;2023-11-10 09:00:00;80,0;20,2;76,6;1,86E+08;17825;24,1;24,2;1673,5;7,8;;;
23117;1;NA;13169;2023-11-14 07:00:00;2023-11-16 07:50:00;82,0;17,1;90,4;1,85E+08;14246;26,0;49,0;1935,3;8,7;;;
23118;1;NA;13169;2023-11-20 08:20:00;2023-11-22 08:40:00;83,2;16,6;75,2;2,40E+08;14246;29,8;54,8;1198,2;4,8;;;
23119;1;NA;13170;2023-11-20 08:20:00;2023-11-22 08:00:00;82,4;19,5;73,5;1,84E+08;12912;31,4;16,9;2059,8;5,3;;;
23120;1;NA;14614;2023-11-21 07:40:00;2023-11-23 08:20:00;80,0;19,4;85,6;1,68E+08;17825;32,1;21,4;2338,6;5,4;;;
23121;1;NA;14615;2023-11-21 07:40:00;2023-11-23 08:15:00;80,0;12,6;83,2;2,24E+08;14246;27,4;44,4;1673,0;7,5;;;
23122;2;23112;14615;2023-11-15 12:15:00;2023-11-17 09:25:00;80,0;19,4;82,4;1,99E+08;17825;29,4;24,1;1978,2;8,5;;;
23123;2;23113;14616;2023-11-15 12:55:00;2023-11-17 09:15:00;80,0;17,4;81,6;1,95E+08;12912;26,2;23,0;2117,8;8,4;;;
23124;1;NA;14615;2023-11-27 07:30:00;2023-11-29 08:41:00;83,2;17,6;73,3;2,18E+08;14246;28,6;29,3;1517,9;4,5;;;
23125;1;NA;14616;2023-11-27 07:30:00;2023-11-29 08:45:00;84,0;19,5;73,6;1,78E+08;17825;32,1;20,3;1688,1;4,8;;;
23126;1;NA;13170;2023-11-28 07:00:00;2023-11-30 07:50:00;80,8;15,3;79,1;1,89E+08;17825;32,4;34,5;2395,4;7,6;;;
23127;1;NA;14614;2023-11-28 07:00:00;2023-11-30 07:55:00;80,4;14,5;78,0;1,98E+08;12912;28,6;29,6;2155,8;7,0;;;
23129;2;23119;13170;2023-11-22 11:45:00;2023-11-24 08:30:00;80,0;30,3;75,4;2,32E+08;12912;30,4;20,9;1903,0;6,2;;;
23130;2;23118;13169;2023-11-22 13:00:00;2023-11-24 08:45:00;80,0;30,3;74,1;2,14E+08;14246;31,3;38,4;1116,6;5,2;;;
23131;1;NA;13169;2023-12-04 07:00:00;2023-12-06 07:40:00;83,2;18,2;73,5;2,03E+08;17825;40,9;19,5;1778,2;6,9;;;
23132;1;NA;13170;2023-12-04 07:00:00;2023-12-06 07:40:00;88,0;17,8;82,4;2,07E+08;12912;31,6;21,4;2107,7;5,8;;;
23133;1;NA;14614;2023-12-04 07:00:00;2023-12-06 07:45:00;85,2;15,8;79,8;2,10E+08;14246;27,4;36,5;1899,6;7,0;;;
23134;2;23124;14615;2023-11-29 12:35:00;2023-12-01 09:45:00;80,0;19,0;78,1;1,74E+08;14246;28,1;37,8;1517,9;5,8;;;
23135;2;23125;14616;2023-11-29 12:55:00;2023-12-01 10:00:00;80,0;19,9;77,8;1,64E+08;17825;32,2;11,4;1937,7;6,7;;;
23136;1;NA;13170;2023-12-18 08:40:00;2023-12-20 08:30:00;83,2;16,5;71,2;1,73E+08;12912;27,4;17,8;1460,4;5,0;;;
23137;1;NA;14614;2023-12-18 13:55:00;2023-12-20 10:15:00;81,6;16,2;57,0;2,80E+08;14246;26,9;20,2;526,4;4,2;;;
23138;1;NA;14615;2023-12-19 06:50:00;2023-12-21 10:20:00;80,0;16,2;69,0;1,86E+08;12912;26,0;19,2;1468,9;4,9;;;
23139;1;NA;14616;2023-12-19 13:15:00;2023-12-21 09:30:00;80,0;15,9;74,1;1,63E+08;17825;26,7;20,0;1468,9;6,2;;;
24004;1;NA;14615;2024-01-16 11:30:00;2024-01-18 09:15:00;84,0;18,3;70,2;1,69E+08;14246;28,7;19,5;1385,6;4,2;;;
24003;1;NA;14614;2024-01-17 09:05:00;2024-01-19 08:40:00;82,4;15,5;74,4;1,86E+08;17825;33,2;28,3;1275,8;4,2;;;
24005;1;NA;14616;2024-01-20 08:15:00;2024-01-22 08:00:00;82,4;16,6;84,0;2,00E+08;17825;29,5;22,9;1419,7;4,9;;;
24007;1;NA;14617;2024-01-20 08:25:00;2024-01-22 08:00:00;80,0;16,1;85,6;1,65E+08;12912;28,8;23,4;1640,4;6,2;;;
24008;1;NA;14615;2024-01-20 08:25:00;2024-01-22 08:00:00;82,4;17,1;84,0;1,73E+08;14246;29,4;20,8;1575,4;5,4;;;
24011;1;NA;13189;2024-01-22 08:00:00;2024-01-24 08:20:00;80,0;18,3;72,5;1,61E+08;12912;26,6;NA;1571,3;6,6;;;
24016;2;NA;14616;2024-01-22 11:20:00;2024-01-24 09:00:00;80,0;21,4;89,6;1,58E+08;17825;34,0;NA;1671,8;8,2;;;
24017;2;NA;14617;2024-01-22 11:00:00;2024-01-24 08:15:00;80,0;19,8;83,2;1,60E+08;14246;28,6;24,3;1807,0;8,0;;;
24009;1;NA;14614;2024-01-23 06:45:00;2024-01-25 08:30:00;80,0;15,1;74,2;1,70E+08;14246;27,0;20,0;1479,5;7,5;;;
24012;1;NA;13170;2024-01-23 06:45:00;2024-01-25 08:15:00;80,0;17,5;87,2;1,81E+08;12912;31,8;25,1;1807,5;7,6;;;
24010;1;NA;13169;2024-01-27 07:10:00;2024-01-29 08:30:00;80,0;19,5;84,0;1,49E+08;17825;33,4;27,5;1297,0;8,0;;;
24020;1;NA;13170;2024-01-27 07:10:00;2024-01-29 08:15:00;80,0;18,0;84,8;1,39E+08;12912;29,5;20,2;2004,0;7,9;;;
24022;2;24010;13169;2024-01-29 12:30:00;2024-01-31 08:30:00;80,0;18,8;84,0;1,56E+08;17825;30,7;23,7;1816,2;9,2;;;
24023;2;24020;13170;2024-01-29 11:15:00;2024-01-31 08:00:00;80,0;18,3;84,0;1,59E+08;12912;27,8;24,9;1816,2;9,0;;;
24019;1;NA;14617;2024-02-03 07:00:00;2024-02-05 08:15:00;80,0;16,6;75,0;1,82E+08;17825;30,1;18,7;1574,7;5,7;;;
24021;1;NA;13169;2024-02-03 07:00:00;2024-02-05 09:15:00;80,0;15,6;71,6;1,64E+08;12912;27,8;15,9;1493,8;6,6;;;
24025;2;24021;13169;2024-02-05 12:25:00;2024-02-07 10:00:00;80,0;20,2;80,8;1,50E+08;12912;30,3;20,1;1750,5;7,0;;;
24014;1;NA;14615;2024-02-10 07:20:00;2024-02-12 10:15:00;83,6;14,6;70,0;1,54E+08;12912;26,6;17,8;1590,7;5,0;;;
24015;3;NA;14616;2024-02-07 10:30:00;2024-02-09 09:10:00;80,0;20,8;73,8;1,64E+08;12912;32,4;20,8;1621,4;4,5;;;
24027;1;NA;13170;2024-02-10 07:20:00;2024-02-12 10:55:00;83,6;18,7;72,9;1,57E+08;14246;31,2;16,2;1663,2;5,1;;;
24028;2;24027;13170;2024-02-12 14:45:00;2024-02-14 11:45:00;80,0;19,7;80,8;1,64E+08;14246;29,7;26,7;1935,3;8,1;;;
24031;1;NA;13169;2024-02-17 08:00:00;2024-02-19 07:45:00;80,0;14,8;87,2;1,95E+08;14246;29,8;26,1;1812,5;6,9;;;
24037;2;24031;13169;2024-02-19 11:20:00;2024-02-21 07:00:00;80,0;17,9;90,4;1,83E+08;14246;28,2;24,0;1584,2;6,9;;;
24038;3;24037;13169;2024-02-21 10:55:00;2024-02-23 07:15:00;80,0;19,6;85,6;2,12E+08;14246;29,6;29,0;1324,6;6,2;;;
24035;1;NA;14614;2024-03-02 07:30:00;2024-03-04 09:00:00;80,0;16,7;61,4;1,46E+08;12912;28,2;13,7;970,8;3,0;;;
24036;1;NA;14617;2024-03-02 07:30:00;2024-03-04 09:00:00;80,0;14,4;61,2;1,49E+08;14246;24,9;13,5;1194,5;4,1;;;
24040;2;24036;14617;2024-03-04 13:00:00;2024-03-06 12:00:00;80,0;44,4;74,2;9,52E+07;14246;27,8;19,4;1218,3;5,3;;;
24041;1;NA;13169;2024-03-09 08:10:00;2024-03-11 09:20:00;80,0;18,6;77,6;1,45E+08;12912;31,0;20,7;1101,0;4,7;;;
24042;1;NA;14615;2024-03-09 08:10:00;2024-03-11 09:10:00;80,0;19,0;68,4;1,58E+08;14246;30,1;14,5;1151,4;4,3;;;
24046;2;24041;13169;2024-03-11 13:10:00;2024-03-13 10:50:00;80,0;19,9;88,0;1,57E+08;12912;32,7;28,3;1783,8;7,8;;;
24043;1;NA;14614;2024-03-12 07:25:00;2024-03-14 08:25:00;80,0;19,4;69,7;1,33E+08;14246;30,3;16,2;1254,6;4,7;;;
24045;1;NA;14616;2024-03-12 07:25:00;2024-03-14 09:15:00;80,0;17,5;72,5;1,39E+08;12912;27,8;17,8;1573,5;5,8;;;
24044;1;NA;13170;2024-03-16 09:20:00;2024-03-18 08:01:00;83,6;19,3;77,5;1,61E+08;14246;30,7;20,7;1528,7;5,4;;;
24047;2;24044;13170;2024-03-18 13:00:00;2024-03-20 07:00:00;80;18;86;2,23E+08;14246;28;27;1794,3;6,6;;;
24049;1;NA;14617;2024-03-16 09:22:00;2024-03-18 08:23:00;84;19;73;1,65E+08;12912;31;17;1342,8;4,9;;;
24050;1;NA;14614;2024-03-23 08:57:00;2024-03-25 08:28:00;84;18;68;1,52E+08;6379;29;27;1422,8;3,7;;;
24051;1;NA;13169;2024-03-23 08:57:00;2024-03-25 08:33:00;84;18;81;1,61E+08;12912;33;19;1486,6;5,5;;;
24052;2;24050;14614;2024-03-25 13:28:00;2024-03-27 08:51:00;86;17;69;1,48E+08;14246;24;18;1857,3;6,0;;;
24053;2;24051;13169;2024-03-25 12:27:00;2024-03-27 08:27:00;87;17;79;1,48E+08;12912;27;19;1784,1;7,2;;;
