;;;pH;;;Turbidez;;;Línea utilizada;;;;;;;;;;;
LOTE;Fecha/hora inicio;Fecha/hora fin;línea 1;línea 2;línea 3;línea 1;línea 2;línea 3;línea 1;línea 2;línea 3;;;;;;;;;
23023;26/03/2023 5:00;27/03/2023 7:21;5,496;5,504;5,52;28,32;27,92;32;1;1;0;;;;;;;;;
23024;26/03/2023 5:00;27/03/2023 7:21;5,496;5,504;5,52;28,32;27,92;32;1;1;0;;;;;;;;;
23025;17/03/2023 6:00;28/03/2023 7:42;5,48;5,52;5,52;26,56;27,52;26,4;1;1;0;;;;;;;;;
23026;17/03/2023 6:00;28/03/2023 7:42;5,48;5,52;5,52;26,56;27,52;26,4;1;1;0;;;;;;;;;
23027;02/04/2023 5:00;03/04/2023 13:30;5,384;5,44;5,4;33,84;30,56;32,48;1;0;1;;;;;;;;;
23028;02/04/2023 5:00;03/04/2023 13:30;5,384;5,44;5,4;33,84;30,56;32,48;1;0;1;;;;;;;;;
23029;15/04/2023 5:30;16/04/2023 6:30;5,52;5,52;NaN;30;30,32;NaN;1;1;0;;;;;;;;;
23030;15/04/2023 5:30;16/04/2023 6:30;5,52;5,52;NaN;30;30,32;NaN;1;1;0;;;;;;;;;
23031;15/04/2023 5:30;16/04/2023 6:30;5,52;5,512;NaN;32,08;32,96;NaN;1;1;0;;;;;;;;;
23032;15/04/2023 5:30;16/04/2023 6:30;5,52;5,512;NaN;32,08;32,96;NaN;1;1;0;;;;;;;;;
23033;23/04/2023 5:00;24/03/2023 13:30;5,448;5,456;5,392;28,08;28,24;29,44;1;0;1;;;;;;;;;
23034;23/04/2023 5:00;24/03/2023 13:30;5,448;5,456;5,392;28,08;28,24;29,44;1;0;1;;;;;;;;;
23035;23/04/2023 5:00;24/03/2023 7:30;5,52;5,52;NaN;25,68;26,56;NaN;1;0;0;;;;;;;;;
23036;20/05/2023 5:00;21/05/2023 7:50;5,384;5,464;5,528;35,44;32,96;25,76;1;1;0;;;;;;;;;
23037;20/05/2023 5:00;21/05/2023 7:50;5,384;5,464;5,528;35,44;32,96;25,76;1;1;0;;;;;;;;;
23038;21/05/2023 5:00;22/05/2023 7:50;5,624;5,56;5,552;36,4;25,28;24,4;0;1;1;;;;;;;;;
23039;21/05/2023 5:00;22/05/2023 7:50;5,624;5,56;5,552;36,4;25,28;24,4;0;1;1;;;;;;;;;
23040;28/05/2023 5:00;29/05/2023 7:30;5,512;5,432;5,48;31,68;33,68;25,04;0;1;1;;;;;;;;;
23041;28/05/2023 5:00;29/05/2023 7:30;5,512;5,432;5,48;31,68;33,68;25,04;0;1;1;;;;;;;;;
23042;29/05/2023 5:00;30/05/2023 7:30;5,512;5,472;NaN;24,8;27,12;NaN;0;1;0;;;;;;;;;
23044;04/06/2023 5:00;05/06/2023 8:00;5,488;5,552;NaN;30,48;26,8;NaN;1;1;0;;;;;;;;;
23043;10/06/2023 5:00;11/06/2023 7:35;5,512;5,44;6,112;31,44;31,6;19,6;1;1;0;;;;;;;;;
23045;10/06/2023 5:00;11/06/2023 7:35;5,512;5,44;6,112;31,44;31,6;19,6;1;1;0;;;;;;;;;
23046;11/06/2023 5:00;12/06/2023 9:00;5,584;5,568;6,048;28,64;26,4;17,36;1;1;0;;;;;;;;;
23047;11/06/2023 5:00;12/06/2023 9:00;5,584;5,568;6,048;28,64;26,4;17,36;1;1;0;;;;;;;;;
23048;18/06/2023 5:00;19/06/2023 7:15;5,624;5,512;5,52;29,52;29,2;28,72;0;1;1;;;;;;;;;
23049;18/06/2023 5:00;19/06/2023 7:15;5,624;5,512;5,52;29,52;29,2;28,72;0;1;1;;;;;;;;;
23050;19/06/2023 5:00;20/06/2023 7:30;5,528;5,488;5,408;25,92;25,76;26,96;1;0;1;;;;;;;;;
23051;19/06/2023 5:00;20/06/2023 7:30;5,528;5,488;5,408;25,92;25,76;26,96;1;0;1;;;;;;;;;
23052;24/06/2023 5:00;25/06/2023 7:30;5,464;5,576;5,456;49,2;26,88;26,96;1;0;1;;;;;;;;;
23053;24/06/2023 5:00;25/06/2023 7:30;5,464;5,576;5,456;49,2;26,88;26,96;1;0;1;;;;;;;;;
23054;25/06/2023 5:00;26/06/2023 7:45;5,52;5,496;5,512;27,28;28,96;28,72;1;1;0;;;;;;;;;
23055;25/06/2023 5:00;26/06/2023 7:45;5,52;5,496;5,512;27,28;28,96;28,72;1;1;0;;;;;;;;;
23056;01/07/2023 5:00;02/07/2023 8:35;5,568;5,48;5,544;40,64;30,32;31,76;0;1;1;;;;;;;;;
23957;01/07/2023 5:00;02/07/2023 8:35;5,568;5,48;5,544;40,64;30,32;31,76;0;1;1;;;;;;;;;
23060;02/07/2023 5:00;03/07/2023 7:30;5,536;5,512;5,528;29,68;30,8;31,52;1;1;0;;;;;;;;;
23061;02/07/2023 5:00;03/07/2023 7:30;5,536;5,512;5,528;29,68;30,8;31,52;1;1;0;;;;;;;;;
23062;08/07/2023 5:00;09/07/2023 7:45;5,504;5,496;5,456;30,56;30,24;41,28;1;1;0;;;;;;;;;
23063;08/07/2023 5:00;09/07/2023 7:45;5,504;5,496;5,456;30,56;30,24;41,28;1;1;0;;;;;;;;;
23064;09/07/2023 5:00;10/07/2023 7:20;5,408;5,464;5,464;29,28;31,2;28,4;1;1;0;;;;;;;;;
23065;09/07/2023 5:00;10/07/2023 7:20;5,408;5,464;5,464;29,28;31,2;28,4;1;1;0;;;;;;;;;
23067;15/07/2023 5:00;16/07/2023 7:30;5,656;5,544;5,52;24,72;27,76;25,36;0;1;1;;;;;;;;;
23068;16/07/2023 5:00;17/07/2023 7:35;5,64;5,624;5,584;26,24;35,28;26,48;0;1;1;;;;;;;;;
23069;16/07/2023 5:00;17/07/2023 7:35;5,64;5,624;5,584;26,24;35,28;26,48;0;1;1;;;;;;;;;
23066;22/07/2023 5:00;23/07/2023 8:30;5,44;5,52;5,464;30,96;33,68;29,52;1;1;0;;;;;;;;;
23070;22/07/2023 5:00;23/07/2023 8:30;5,44;5,52;5,464;30,96;33,68;29,52;1;1;0;;;;;;;;;
23071;23/07/2023 5:00;24/07/2023 7:00;5,472;5,48;5,496;27,52;26,56;30,48;1;1;0;;;;;;;;;
23072;23/07/2023 5:00;24/07/2023 7:00;5,472;5,48;5,496;27,52;26,56;30,48;1;1;0;;;;;;;;;
23073;29/07/2023 5:00;30/07/2023 7:10;5,52;5,52;5,504;31,52;30,56;34,24;1;0;1;;;;;;;;;
23075;29/07/2023 5:00;31/07/2023 7:15;5,464;NaN;NaN;42,56;NaN;NaN;1;0;0;;;;;;;;;
23074;30/07/2023 5:00;30/07/2023 7:10;5,52;5,52;5,504;31,52;30,56;34,24;1;0;1;;;;;;;;;
23076;30/07/2023 5:00;31/07/2023 7:00;5,376;NaN;NaN;34,88;NaN;NaN;1;0;0;;;;;;;;;
23077;02/09/2023 5:00;03/09/2023 7:45;5,424;5,44;NaN;30,96;32,16;NaN;1;1;0;;;;;;;;;
23078;02/09/2023 5:00;03/09/2023 7:45;5,424;5,44;NaN;30,96;32,16;NaN;1;1;0;;;;;;;;;
23079;03/09/2023 5:00;04/09/2023 7:45;5,312;5,424;5,456;50,64;27,68;41,04;1;0;1;;;;;;;;;
23080;03/09/2023 5:00;04/09/2023 7:45;5,312;5,424;5,456;50,64;27,68;41,04;1;0;1;;;;;;;;;
23081;10/09/2023 5:00;11/09/2023 8:00;5,496;NaN;5,504;28,4;NaN;28;1;0;1;;;;;;;;;
23082;10/09/2023 5:00;11/09/2023 8:00;5,496;NaN;5,504;28,4;NaN;28;1;0;1;;;;;;;;;
23083;11/09/2023 5:00;12/09/2023 7:45;5,424;NaN;5,448;29,2;NaN;30,48;1;0;1;;;;;;;;;
23084;11/09/2023 5:00;12/09/2023 7:45;5,424;NaN;5,448;29,2;NaN;30,48;1;0;1;;;;;;;;;
23085;23/09/2023 5:00;24/09/2023 8:15;5,496;5,464;5,208;30,8;30,32;28,48;1;1;0;;;;;;;;;
23086;23/09/2023 5:00;24/09/2023 8:15;5,496;5,464;5,208;30,8;30,32;28,48;1;1;0;;;;;;;;;
23087;24/09/2023 5:00;25/09/2023 7:30;5,48;5,456;5,496;29,68;31,84;30,4;1;1;0;;;;;;;;;
23088;24/09/2023 5:00;25/09/2023 7:30;5,48;5,456;5,496;29,68;31,84;30,4;1;1;0;;;;;;;;;
23089;30/09/2023 0:30;01/10/2023 8:30;5,36;5,392;5,416;37,12;49,44;32,88;1;1;0;;;;;;;;;
23090;30/09/2023 0:30;01/10/2023 8:30;5,36;5,392;5,416;37,12;49,44;32,88;1;1;0;;;;;;;;;
23091;01/10/2023 0:30;02/10/2023 7:30;5,512;5,472;5,52;37,76;32,72;34,56;1;1;0;;;;;;;;;
23092;01/10/2023 0:30;02/10/2023 7:30;5,512;5,472;5,52;37,76;32,72;34,56;1;1;0;;;;;;;;;
23094;07/10/2023 0:30;08/10/2023 8:00;5,392;5,408;5,408;34,48;33,76;38,56;1;1;0;;;;;;;;;
23095;07/10/2023 0:30;08/10/2023 8:00;5,392;5,408;5,408;34,48;33,76;38,56;1;1;0;;;;;;;;;
23096;15/10/2023 0:30;16/10/2023 7:30;5,472;5,44;NaN;31,92;32,4;NaN;1;1;0;;;;;;;;;
23097;15/10/2023 0:30;16/10/2023 7:30;5,352;NaN;NaN;34,08;NaN;NaN;1;0;0;;;;;;;;;
23098;15/10/2023 0:30;16/10/2023 7:30;5,472;5,44;NaN;31,92;32,4;NaN;1;1;0;;;;;;;;;
23099;21/10/2023 0:30;22/10/2023 9:30;5,512;5,52;5,576;31,04;29,2;26,72;1;1;0;;;;;;;;;
23100;21/10/2023 0:30;22/10/2023 9:30;5,512;5,52;5,576;31,04;29,2;26,72;1;1;0;;;;;;;;;
23101;22/10/2023 0:30;23/10/2023 7:20;5,384;5,464;5,488;31,84;31,04;32,88;1;1;0;;;;;;;;;
23102;22/10/2023 0:30;23/10/2023 7:20;5,384;5,464;5,488;31,84;31,04;32,88;1;1;0;;;;;;;;;
23103;29/10/2023 0:30;30/10/2023 9:00;5,296;5,36;5,368;33,12;32,08;34,56;1;1;0;;;;;;;;;
23104;29/10/2023 0:30;30/10/2023 9:45;5,376;5,336;NaN;32,16;36,08;NaN;0;1;0;;;;;;;;;
23105;29/10/2023 0:30;30/10/2023 9:00;5,296;5,36;5,368;33,12;32,08;34,56;1;1;0;;;;;;;;;
23108;04/11/2023 0:30;05/11/2023 9:45;NaN;5,416;5,4;NaN;35,6;34,4;0;1;1;;;;;;;;;
23109;04/11/2023 0:30;05/11/2023 9:45;NaN;5,416;5,4;NaN;35,6;34,4;0;1;1;;;;;;;;;
23110;05/11/2023 0:30;06/11/2023 12:00;5,464;5,424;5,352;46,08;36;32,4;1;1;0;;;;;;;;;
23111;05/11/2023 0:30;06/11/2023 12:00;5,464;5,424;5,352;46,08;36;32,4;1;1;0;;;;;;;;;
23112;11/11/2023 0:30;12/11/2023 9:10;5,696;5,464;5,464;36,32;32,56;30,88;0;1;1;;;;;;;;;
23113;11/11/2023 0:30;12/11/2023 9:10;5,696;5,464;5,464;36,32;32,56;30,88;0;1;1;;;;;;;;;
P23462;12/11/2023 0:30;13/11/2023 7:25;5,432;5,352;NaN;28,64;26,8;NaN;0;1;0;;;;;;;;;
23114;12/11/2023 0:30;13/11/2023 7:25;5,448;5,368;NaN;26,64;29,2;NaN;1;1;0;;;;;;;;;
23117;12/11/2023 0:30;13/11/2023 7:25;5,448;5,368;NaN;26,64;29,2;NaN;1;1;0;;;;;;;;;
23118;18/11/2023 0:30;19/11/2023 7:30;5,352;NaN;5,368;39,92;NaN;37,68;1;0;1;;;;;;;;;
23119;18/11/2023 0:30;19/11/2023 7:30;5,352;NaN;5,368;39,92;NaN;37,68;1;0;1;;;;;;;;;
23120;19/11/2023 0:30;20/11/2023 7:45;5,32;5,384;NaN;32,16;31,44;NaN;1;0;0;;;;;;;;;
23121;19/11/2023 0:30;20/11/2023 7:50;5,232;5,408;NaN;28,72;25,76;NaN;1;0;0;;;;;;;;;
23124;25/11/2023 0:30;26/11/2023 7:35;5,368;5,384;5,36;30;28,08;32,16;1;0;1;;;;;;;;;
23125;25/11/2023 0:30;26/11/2023 7:35;5,368;5,384;5,36;30;28,08;32,16;1;0;1;;;;;;;;;
23126;26/11/2023 0:30;27/11/2023 7:15;5,432;NaN;5,384;29,2;NaN;27,04;1;0;1;;;;;;;;;
23127;26/11/2023 0:30;27/11/2023 7:15;5,432;NaN;5,384;29,2;NaN;27,04;1;0;1;;;;;;;;;
23131;02/12/2023 0:30;03/12/2023 6:55;5,376;5,424;NaN;35,12;35,52;NaN;1;0;0;;;;;;;;;
23132;02/12/2023 0:30;03/12/2023 7:00;5,44;5,488;NaN;34,08;32,48;NaN;1;1;0;;;;;;;;;
23133;02/12/2023 0:30;03/12/2023 7:00;5,44;5,488;NaN;34,08;32,48;NaN;1;1;0;;;;;;;;;
23136;16/12/2023 0:30;17/12/2023 7:45;5,52;NaN;5,52;40,8;NaN;35,68;1;0;1;;;;;;;;;
23137;16/12/2023 0:30;17/12/2023 7:45;5,52;NaN;5,52;40,8;NaN;35,68;1;0;1;;;;;;;;;
23138;16/12/2023 0:30;18/12/2023 7:55;5,416;5,448;5,464;32,24;30;38,48;1;0;1;;;;;;;;;
23139;16/12/2023 0:30;18/12/2023 7:55;5,416;5,448;5,464;32,24;30;38,48;1;0;1;;;;;;;;;
24004;14/01/2024 0:30;15/01/2024 7:30;5,44;5,52;5,52;31,2;28,88;25,84;1;1;0;;;;;;;;;
24002;15/01/2024 0:30;16/01/2024 9:00;5,52;5,52;5,68;25,28;26;25,28;1;1;0;;;;;;;;;
24003;15/01/2024 0:30;16/01/2024 9:00;5,52;5,52;5,68;25,28;26;25,28;1;1;0;;;;;;;;;
24005;18/01/2024 0:30;19/01/2024 7:15;5,36;5,44;NaN;28,96;26,48;NaN;1;0;0;;;;;;;;;
24007;18/01/2024 0:30;19/01/2024 7:30;5,36;5,36;5,36;40,4;34,4;27,28;1;1;0;;;;;;;;;
24008;18/01/2024 0:30;19/01/2024 7:30;5,36;5,36;5,36;40,4;34,4;27,28;1;1;0;;;;;;;;;
24009;21/01/2024 0:30;22/01/2024 7:30;5,48;5,552;5,608;25,68;27,04;28;1;0;1;;;;;;;;;
24010;25/01/2024 0:30;26/01/2024 7:00;5,448;5,504;5,528;35,04;24,16;25,44;1;0;1;;;;;;;;;
24012;21/01/2024 0:30;22/01/2024 7:30;5,48;5,552;5,608;25,68;27,04;28;1;0;1;;;;;;;;;
24020;25/01/2024 0:30;26/01/2024 7:00;5,448;5,504;5,528;35,04;24,16;25,44;1;0;1;;;;;;;;;
24019;01/02/2024 0:30;02/02/2024 7:20;5,52;5,36;NaN;35,2;37,04;NaN;0;1;0;;;;;;;;;
24020;25/01/2024 0:30;26/01/2024 7:00;5,448;5,504;5,528;35,04;24,16;25,44;1;0;1;;;;;;;;;
24021;01/02/2024 0:30;02/02/2024 7:10;5,28;5,44;NaN;37,68;26,72;NaN;1;0;0;;;;;;;;;
24014;08/02/2024 0:30;09/02/2024 7:35;5,488;5,456;5,56;34,88;34,48;35,04;1;1;0;;;;;;;;;
24027;08/02/2024 0:30;09/02/2024 7:35;5,488;5,456;5,56;34,88;34,48;35,04;1;1;0;;;;;;;;;
24031;15/02/2024 0:30;16/02/2024 7:30;5,768;5,488;NaN;24,48;32,96;NaN;0;1;0;;;;;;;;;
24035;29/02/2024 0:30;01/03/2024 7:00;5,44;5,448;5,512;26,88;31,12;28,8;0;1;0;;;;;;;;;
24036;29/02/2024 0:30;01/03/2024 7:00;5,44;5,448;5,512;26,88;31,12;28,8;0;1;0;;;;;;;;;
24041;07/03/2024 0:30;08/03/2024 7:20;5,56;5,456;5,496;23,2;27,6;26,96;0;1;1;;;;;;;;;
24042;07/03/2024 0:30;08/03/2024 7:20;5,56;5,456;5,496;23,2;27,6;26,96;0;1;1;;;;;;;;;
24043;10/03/2024 0:30;11/03/2024 7:15;5,512;5,624;5,552;26,08;25,2;28,24;1;1;0;;;;;;;;;
24045;10/03/2024 0:30;11/03/2024 7:15;5,512;5,624;5,552;26,08;25,2;28,24;1;1;0;;;;;;;;;
24044;14/03/2024 0:30;15/03/2024 7:15;5,424;5,408;5,48;24,4;27,92;24,48;1;1;0;;;;;;;;;
24049;14/03/2024 0:30;15/03/2024 7:15;5,424;5,408;5,48;24,4;27,92;24,48;1;1;0;;;;;;;;;
24050;21/03/2024 0:30;22/03/2024 7:00;5,496;5,488;5,376;34;27,84;35,12;1;0;1;;;;;;;;;
24051;21/03/2024 0:30;22/03/2024 7:00;5,496;5,488;5,376;34;27,84;35,12;1;0;1;;;;;;;;;
24055;11/04/2024 0:30;12/04/2024 7:14;5,368;5,416;5,464;26,16;25,52;25,04;1;1;0;;;;;;;;;
24056;11/04/2024 0:30;12/04/2024 7:14;5,368;5,416;5,464;26,16;25,52;25,04;1;1;0;;;;;;;;;
24054;14/04/2024 0:30;15/04/2024 7:17;5,504;5,376;5,376;27,12;25,68;29,52;1;1;0;;;;;;;;;
24057;14/04/2024 0:30;15/04/2024 7:17;5,504;5,376;5,376;27,12;25,68;29,52;1;1;0;;;;;;;;;
24060;18/04/2024 0:30;19/04/2024 7:46;5,384;5,344;5,448;25,44;26;24,72;1;1;0;;;;;;;;;
24061;18/04/2024 0:30;19/04/2024 7:46;5,384;5,344;5,448;25,44;26;24,72;1;1;0;;;;;;;;;
24063;21/04/2024 0:30;22/04/2024 7:19;5,36;5,376;NaN;25,84;27,84;NaN;1;1;0;;;;;;;;;
24064;21/04/2024 0:30;22/04/2024 7:19;5,36;5,376;NaN;25,84;27,84;NaN;1;1;0;;;;;;;;;
24067;25/04/2024 0:30;26/04/2024 7:17;5,568;5,56;5,52;20,96;22,48;22,4;0;1;1;;;;;;;;;
24070;25/04/2024 0:30;26/04/2024 7:17;5,568;5,56;5,52;20,96;22,48;22,4;0;1;1;;;;;;;;;
24071;28/04/2024 0:30;29/04/2024 7:45;6,28;5,488;NaN;27,36;24,88;NaN;0;1;0;;;;;;;;;
24072;12/05/2024 0:30;13/05/2024 8:16;5,424;5,424;NaN;25,36;30,96;NaN;0;1;0;;;;;;;;;
24073;12/05/2024 0:30;13/05/2024 7:54;5,44;5,384;5,456;25,12;26,96;27,84;0;1;1;;;;;;;;;
24074;16/05/2024 0:30;17/05/2024 7:15;5,408;5,408;5,384;27,36;28,08;24,32;1;1;0;;;;;;;;;
24075;12/05/2024 0:30;13/05/2024 7:54;5,424;5,424;NaN;25,12;26,96;27,84;0;1;1;;;;;;;;;
24076;16/05/2024 0:30;17/05/2024 7:15;5,408;5,408;5,384;27,36;28,08;24,32;1;1;0;;;;;;;;;
24077;19/05/2024 0:30;20/05/2024 7:14;5,4;5,384;5,4;30,96;27,76;26,24;1;1;0;;;;;;;;;
24078;19/05/2024 0:30;20/05/2024 7:14;5,4;5,384;5,4;30,96;27,76;26,24;1;1;0;;;;;;;;;
24081;26/05/2024 0:30;27/05/2024 8:05;5,44;5,504;5,496;29,68;31,2;28,96;1;1;0;;;;;;;;;
24083;23/05/2024 0:30;24/05/2024 7:26;5,384;5,4;5,4;25,84;30,24;29,68;1;1;0;;;;;;;;;
24084;23/05/2024 0:30;24/05/2024 7:26;5,384;5,4;5,4;25,84;30,24;29,68;1;1;0;;;;;;;;;
24085;26/05/2024 0:30;27/05/2024 8:05;5,44;5,504;5,496;29,68;31,2;28,96;1;1;0;;;;;;;;;
24088;30/05/2024 0:30;31/05/2024 7:46;5,472;5,616;5,48;30,56;31,2;29,68;1;0;1;;;;;;;;;
24089;30/05/2024 0:30;31/05/2024 7:46;5,472;5,616;5,48;30,56;31,2;29,68;1;0;1;;;;;;;;;
24091;02/06/2024 0:30;03/06/2024 7:03;5,392;5,424;5,472;33,44;32,16;29,36;1;1;0;;;;;;;;;
24092;02/06/2024 0:30;03/06/2024 7:03;5,392;5,424;5,472;33,44;32,16;29,36;1;1;0;;;;;;;;;
24095;09/06/2024 0:30;10/06/2024 7:09;5,456;5,44;5,432;32,08;31,28;28,72;1;1;0;;;;;;;;;
24097;09/06/2024 0:30;10/06/2024 7:09;5,456;5,44;5,432;32,08;31,28;28,72;1;1;0;;;;;;;;;
24098;13/06/2024 0:30;14/06/2024 8:00;5,672;5,608;5,608;23,04;22,56;20,96;1;0;0;;;;;;;;;
24101;27/06/2024 0:30;28/06/2024 7:16;5,424;5,432;5,416;32,08;32,48;30,64;1;1;0;;;;;;;;;
24103;27/06/2024 0:30;28/06/2024 7:16;5,424;5,432;5,416;32,08;32,48;30,64;1;1;0;;;;;;;;;
24104;30/06/2024 0:30;01/07/2024 7:01;5,408;5,424;5,392;27,44;26,48;26,64;1;0;1;;;;;;;;;
24105;30/06/2024 0:30;01/07/2024 7:01;5,408;5,424;5,392;27,44;26,48;26,64;1;0;1;;;;;;;;;
24108;04/07/2024 0:30;05/07/2024 7:04;5,528;5,432;5,504;33,44;28,8;25,6;0;1;1;;;;;;;;;
24111;04/07/2024 0:30;05/07/2024 7:04;5,528;5,432;5,504;33,44;28,8;25,6;0;1;1;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
